Num_Sujet;Stimulus;Pays;Classe;Description;Mot1;Poids1;Mot2;Poids2;Mot3;Poids3;Mot4;Poids4;Mot5;Poids5;Mot6;Poids6;Mot7;Poids7;Mot8;Poids8;Mot9;Poids9;Mot10;Poids10
2;156;Ukraine;PasEquilibré;Pas_assez_quantité Pas_assez_diversifié Assez_féculents Pas_assez_légumes Pas_assez_fruits Pas_assez_protéines;Assez_féculents;0,139565252;Pas_assez_fruits;-0,126676064;Pas_assez_protéines;-0,079501515;Pas_assez_légumes;0,027142884;Pas_assez_diversifié;-0,012339796;Pas_assez_quantité;-0,010313908;;;;;;;;
2;238;Italie;PresqueEquilibré;Assez_féculents Pas_assez_diversifié Assez_légumes Pain_blanc Assez_féculents Assez_fruits Assez_protéines;Assez_fruits;-0,105708092;Pas_assez_diversifié;-0,083347357;Assez_légumes;0,059652949;Assez_protéines;0,057301472;Pain_blanc;0,028384618;Assez_féculents;0,023363464;;;;;;;;
2;327;USA;PasEquilibré;Produits_transformés Trop_sucré Pas_assez_diversifié Quantité_mal_répartie Pas_assez_féculents Pas_assez_légumes Assez_protéines Pas_assez_fruits Mauvais_fruits;Produits_transformés;-0,126124506;Trop_sucré;-0,097756259;Pas_assez_féculents;-0,057119788;Assez_protéines;0,056342385;Pas_assez_fruits;-0,04703651;Mauvais_fruits;-0,027179474;Pas_assez_diversifié;0,015848962;Quantité_mal_répartie;0,001401857;Pas_assez_légumes;-0,000315601;;
2;352;Brésil;Equilibré;Coloré Pain_complet Assez_féculents Assez_légumes Assez_protéines Assez_fruits;Assez_légumes;0,169266177;Assez_protéines;0,130731653;Assez_fruits;0,067133659;Assez_féculents;0,053359509;Coloré;0,036898812;Pain_complet;-0,002245926;;;;;;;;
2;421;France;PresqueEquilibré;Assez_protéines Pas_assez_fibres Assez_fruits Assez_légumes Trop_produits_laitiers Pas_assez_féculents;Pas_assez_féculents;-0,267903161;Assez_légumes;0,039097671;Assez_protéines;0,033243845;Assez_fruits;0,031943835;Pas_assez_fibres;-0,024334088;Trop_produits_laitiers;-0,002211053;;;;;;;;
2;489;Corée;Equilibré ;Coloré Assez_légumes Assez_protéines Assez_féculents Assez_fruits;Assez_protéines;0,221261288;Assez_légumes;0,145567981;Coloré;0,035982274;Assez_féculents;-0,01294843;Assez_fruits;-0,008204375;;;;;;;;;;
2;672;Finlande;PresqueEquilibré;Assez_légumes Pas_assez_fruits Assez_féculents Pas_assez_protéines;Pas_assez_fruits;-0,185831662;Assez_féculents;-0,077916695;Pas_assez_protéines;-0,077807781;Assez_légumes;0,019850443;;;;;;;;;;;;
2;756;Espagne;PresqueEquilibré;Pas_assez_garni Pas_assez_quantité Pas_assez_légumes Pas_assez_fibres Pas_assez_protéines Diversifié Assez_féculents Pas_assez_fruits;Pas_assez_fruits;-0,074577613;Assez_féculents;0,058520971;Diversifié;0,032463696;Pas_assez_légumes;-0,029416869;Pas_assez_quantité;-0,020869815;Pas_assez_fibres;-0,008643133;Pas_assez_protéines;-0,006666983;Pas_assez_garni;-0,000819097;;;;
2;980;Grèce;Equilibré;Diversifié Viande_blanche Pas_assez_légumes Assez_fruits Assez_protéines Assez_féculents Assez_produits_laitiers;Assez_produits_laitiers;0,087020774;Assez_féculents;0,066325275;Pas_assez_légumes;-0,045028872;Assez_fruits;0,044738479;Assez_protéines;0,042991786;Viande_blanche;0,030646461;Diversifié;-0,00637231;;;;;;
3;156;Ukraine;PresqueEquilibré;Pas_assez_fruits Trop_sucré Produits_transformés Assez_légumes Assez_protéines Assez_féculents;Produits_transformés;-0,195373426;Assez_protéines;0,171983551;Assez_légumes;0,155371465;Trop_sucré;-0,116514364;Assez_féculents;0,092401237;Pas_assez_fruits;-0,008080844;;;;;;;;
3;238;Italie;PresqueEquilibré;Assez_fruits Assez_protéines Trop_féculents Assez_légumes;Assez_fruits;0,120217477;Trop_féculents;0,072709463;Assez_protéines;0,055437699;Assez_légumes;-0,039813692;;;;;;;;;;;;
3;327;USA;PasEquilibré;Pas_assez_légumes Trop_sucré Produits_transformés Pas_assez_fruits Trop_protéines Assez_féculents;Produits_transformés;-0,093591676;Trop_sucré;-0,083582307;Pas_assez_fruits;-0,058486631;Trop_protéines;-0,048342565;Pas_assez_légumes;-0,048263727;Assez_féculents;0,015277365;;;;;;;;
